code_edi;tableau_nom;libelle_ligne;label_col1;label_col2;label_col3
529;Table 1;Créances de l'actif circulant (G);Valeur 1;Valeur 2;Valeur 3
530;Table 1;Créances de l'actif circulant (G);Valeur 1;Valeur 2;Valeur 3
122;Table 1;Fournis. débiteurs, avances et;Valeur 1;Valeur 2;Valeur 3
129;Table 1;Fournis. débiteurs, avances et;Valeur 1;Valeur 2;Valeur 3
136;Table 1;Fournis. débiteurs, avances et;Valeur 1;Valeur 2;Valeur 3
143;Table 1;Fournis. débiteurs, avances et;Valeur 1;Valeur 2;Valeur 3
123;Table 1;Clients et comptes rattachés;Valeur 1;Valeur 2;Valeur 3
130;Table 1;Clients et comptes rattachés;Valeur 1;Valeur 2;Valeur 3
137;Table 1;Clients et comptes rattachés;Valeur 1;Valeur 2;Valeur 3
144;Table 1;Clients et comptes rattachés;Valeur 1;Valeur 2;Valeur 3
124;Table 1;Personnel;Valeur 1;Valeur 2;Valeur 3
131;Table 1;Personnel;Valeur 1;Valeur 2;Valeur 3
138;Table 1;Personnel;Valeur 1;Valeur 2;Valeur 3
145;Table 1;Personnel;Valeur 1;Valeur 2;Valeur 3
125;Table 1;Etat;Valeur 1;Valeur 2;Valeur 3
132;Table 1;Etat;Valeur 1;Valeur 2;Valeur 3
139;Table 1;Etat;Valeur 1;Valeur 2;Valeur 3
146;Table 1;Etat;Valeur 1;Valeur 2;Valeur 3
126;Table 1;Comptes d'associés;Valeur 1;Valeur 2;Valeur 3
133;Table 1;Comptes d'associés;Valeur 1;Valeur 2;Valeur 3
140;Table 1;Comptes d'associés;Valeur 1;Valeur 2;Valeur 3
147;Table 1;Comptes d'associés;Valeur 1;Valeur 2;Valeur 3
127;Table 1;Autres débiteurs;Valeur 1;Valeur 2;Valeur 3
134;Table 1;Autres débiteurs;Valeur 1;Valeur 2;Valeur 3
141;Table 1;Autres débiteurs;Valeur 1;Valeur 2;Valeur 3
148;Table 1;Autres débiteurs;Valeur 1;Valeur 2;Valeur 3
128;Table 1;Comptes de régularisation- Actif;Valeur 1;Valeur 2;Valeur 3
135;Table 1;Comptes de régularisation- Actif;Valeur 1;Valeur 2;Valeur 3
142;Table 1;Comptes de régularisation- Actif;Valeur 1;Valeur 2;Valeur 3
149;Table 1;Comptes de régularisation- Actif;Valeur 1;Valeur 2;Valeur 3
181;Table 1;Titres valeurs de placement (H);Valeur 1;Valeur 2;Valeur 3
182;Table 1;Titres valeurs de placement (H);Valeur 1;Valeur 2;Valeur 3
183;Table 1;Titres valeurs de placement (H);Valeur 1;Valeur 2;Valeur 3
184;Table 1;Titres valeurs de placement (H);Valeur 1;Valeur 2;Valeur 3
151;Table 1;Ecarts de conversion actif (I) Eléments circulants;Valeur 1;Valeur 2;Valeur 3
152;Table 1;Ecarts de conversion actif (I) Eléments circulants;Valeur 1;Valeur 2;Valeur 3
153;Table 1;Ecarts de conversion actif (I) Eléments circulants;Valeur 1;Valeur 2;Valeur 3
